"OWC","SCCS.ID","minerva_id","eHRAF.Name","PSF.Cluster","EA.ID","General_TL5B_avg_final","Domain_prefix","TL1","TL2","TL3","TL4","TL5","Domain_name","Domain_num","Z_TL1","Z_TL2","Z_TL3","Z_TL4","Z_TL5"
"FX13",1,1,"Khoi",NA,"Aa03",3,"General",3,3.25,3,NA,3,"law",1,0.0547954435691525,0.0653455337369648,-0.143916688046467,NA,0.017651381865001
"FX13",1,1,"Khoi",NA,"Aa03",3,"Soc",NA,NA,NA,NA,NA,"social",2,NA,NA,NA,NA,NA
"FX13",1,1,"Khoi",NA,"Aa03",3,"Gender",3,NA,NA,NA,3,"gender",3,0.0547954435691525,NA,NA,NA,0.017651381865001
"FX13",1,1,"Khoi",NA,"Aa03",3,"Mar",2.25,NA,NA,4,2.25,"marriage",4,-0.883373881670296,NA,NA,0.238002376321892,-0.929556574552667
"FX13",1,1,"Khoi",NA,"Aa03",3,"Sex",3,4,NA,NA,3,"sex",5,0.0547954435691525,0.955678430903108,NA,NA,0.017651381865001
"FX13",1,1,"Khoi",NA,"Aa03",3,"FM",3.25,NA,NA,NA,3.25,"funeral",6,0.367518551982302,NA,NA,NA,0.333387367337557
"FX10",2,2,"San",NA,"Aa01",2,"General",2.25,3,2,3.75,2.25,"law",1,-0.883373881670296,-0.23143209865175,-0.537096652419888,0.140156954945114,-0.929556574552667
"FX10",2,2,"San",NA,"Aa01",2,"Soc",1.75,2,1,4,1.75,"social",2,-1.5088200984966,-1.41854262820661,-0.930276616793309,0.238002376321892,-1.56102854549778
"FX10",2,2,"San",NA,"Aa01",2,"Gender",2.75,4,3,3.75,3,"gender",3,-0.257927664843997,0.955678430903108,-0.143916688046467,0.140156954945114,0.017651381865001
"FX10",2,2,"San",NA,"Aa01",2,"Mar",2,2.25,3,2.75,2.25,"marriage",4,-1.19609699008345,-1.12176499581789,-0.143916688046467,-0.251224730561998,-0.929556574552667
"FX10",2,2,"San",NA,"Aa01",2,"Sex",3,3,3.75,3,3,"sex",5,0.0547954435691525,-0.23143209865175,0.150968285233599,-0.15337930918522,0.017651381865001
"FX10",2,2,"San",NA,"Aa01",2,"FM",1,NA,NA,NA,NA,"funeral",6,-2.44698942373604,NA,NA,NA,NA
"FQ09",4,4,"Lozi","2","Ab03",3,"General",3.125,3,3.5,2.875,3.125,"law",1,0.211156997775727,-0.23143209865175,0.0526732941402436,-0.202302019873609,0.175519374601279
"FQ09",4,4,"Lozi","2","Ab03",3,"Soc",2.5,NA,4,NA,2.5,"social",2,-0.570650773257147,NA,0.249263276326954,NA,-0.613820589080111
"FQ09",4,4,"Lozi","2","Ab03",3,"Gender",3.5,NA,NA,NA,3.5,"gender",3,0.680241660395452,NA,NA,NA,0.649123352810113
"FQ09",4,4,"Lozi","2","Ab03",3,"Mar",2.75,2.875,3.125,2.875,2.875,"marriage",4,-0.257927664843997,-0.379820914846107,-0.0947691924997893,-0.202302019873609,-0.140216610871277
"FQ09",4,4,"Lozi","2","Ab03",3,"Sex",2.75,3,3.25,2.375,2.75,"sex",5,-0.257927664843997,-0.23143209865175,-0.0456216969531117,-0.397992862627165,-0.298084603607555
"FQ09",4,4,"Lozi","2","Ab03",3,"FM",3,4,3.5,2.875,3,"funeral",6,0.0547954435691525,0.955678430903108,0.0526732941402436,-0.202302019873609,0.017651381865001
"FP13",5,5,"Ovimbundu",NA,"Ab05",3.75,"General",3.875,3.75,4,3,3.75,"law",1,1.14932632301518,0.658900798514394,0.249263276326954,-0.15337930918522,0.964859338282669
"FP13",5,5,"Ovimbundu",NA,"Ab05",3.75,"Soc",3.875,3.75,3.375,4,3.875,"social",2,1.14932632301518,0.658900798514394,0.00352579859356598,0.238002376321892,1.12272733101895
"FP13",5,5,"Ovimbundu",NA,"Ab05",3.75,"Gender",4,NA,4,3.75,4,"gender",3,1.30568787722175,NA,0.249263276326954,0.140156954945114,1.28059532375522
"FP13",5,5,"Ovimbundu",NA,"Ab05",3.75,"Mar",3.75,NA,3.5,4,3.75,"marriage",4,0.992964768808601,NA,0.0526732941402436,0.238002376321892,0.964859338282669
"FP13",5,5,"Ovimbundu",NA,"Ab05",3.75,"Sex",3.875,3,3.75,3,3.5,"sex",5,1.14932632301518,-0.23143209865175,0.150968285233599,-0.15337930918522,0.649123352810113
"FP13",5,5,"Ovimbundu",NA,"Ab05",3.75,"FM",3.75,4,4,4,4,"funeral",6,0.992964768808601,0.955678430903108,0.249263276326954,0.238002376321892,1.28059532375522
"FQ05",7,7,"Bemba","3","Ac03",4,"General",3.875,3.5,3.875,4,4,"law",1,1.14932632301518,0.362123166125679,0.200115780780277,0.238002376321892,1.28059532375522
"FQ05",7,7,"Bemba","3","Ac03",4,"Soc",2.125,2,NA,NA,2,"social",2,-1.03973543587687,-1.41854262820661,NA,NA,-1.24529256002522
"FQ05",7,7,"Bemba","3","Ac03",4,"Gender",3.125,4,3.625,NA,3.25,"gender",3,0.211156997775727,0.955678430903108,0.101820789686921,NA,0.333387367337557
"FQ05",7,7,"Bemba","3","Ac03",4,"Mar",3.75,3,3,4,3.625,"marriage",4,0.992964768808601,-0.23143209865175,-0.143916688046467,0.238002376321892,0.806991345546391
"FQ05",7,7,"Bemba","3","Ac03",4,"Sex",4,4,4,3,4,"sex",5,1.30568787722175,0.955678430903108,0.249263276326954,-0.15337930918522,1.28059532375522
"FQ05",7,7,"Bemba","3","Ac03",4,"FM",3,NA,NA,NA,3,"funeral",6,0.0547954435691525,NA,NA,NA,0.017651381865001
"FN17",8,8,"Nyakyusa and Ngonde",NA,"Ad06",3.125,"General",3.125,4,3.375,3,3.125,"law",1,0.211156997775727,0.955678430903108,0.00352579859356598,-0.15337930918522,0.175519374601279
"FN17",8,8,"Nyakyusa and Ngonde",NA,"Ad06",3.125,"Soc",3,NA,NA,NA,NA,"social",2,0.0547954435691525,NA,NA,NA,NA
"FN17",8,8,"Nyakyusa and Ngonde",NA,"Ad06",3.125,"Gender",3.375,3,3.25,NA,3.375,"gender",3,0.523880106188877,-0.23143209865175,-0.0456216969531117,NA,0.491255360073835
"FN17",8,8,"Nyakyusa and Ngonde",NA,"Ad06",3.125,"Mar",2.5,3.25,3.25,2.5,2.5,"marriage",4,-0.570650773257147,0.0653455337369648,-0.0456216969531117,-0.349070151938776,-0.613820589080111
"FN17",8,8,"Nyakyusa and Ngonde",NA,"Ad06",3.125,"Sex",3.5,4,3.5,2,3.25,"sex",5,0.680241660395452,0.955678430903108,0.0526732941402436,-0.544760994692332,0.333387367337557
"FN17",8,8,"Nyakyusa and Ngonde",NA,"Ad06",3.125,"FM",4,4,3.125,NA,3.875,"funeral",6,1.30568787722175,0.955678430903108,-0.0947691924997893,NA,1.12272733101895
"FK07",12,12,"Ganda","4","Ad07",4,"General",4,4,4,3.375,4,"law",1,1.30568787722175,0.955678430903108,0.249263276326954,-0.00661117712005266,1.28059532375522
"FK07",12,12,"Ganda","4","Ad07",4,"Soc",3.125,4,4,NA,3.875,"social",2,0.211156997775727,0.955678430903108,0.249263276326954,NA,1.12272733101895
"FK07",12,12,"Ganda","4","Ad07",4,"Gender",4,4,3.625,3.125,3.875,"gender",3,1.30568787722175,0.955678430903108,0.101820789686921,-0.104456598496831,1.12272733101895
"FK07",12,12,"Ganda","4","Ad07",4,"Mar",3.125,3.25,3.75,NA,3.125,"marriage",4,0.211156997775727,0.0653455337369648,0.150968285233599,NA,0.175519374601279
"FK07",12,12,"Ganda","4","Ad07",4,"Sex",4,4,3.375,2,3.125,"sex",5,1.30568787722175,0.955678430903108,0.00352579859356598,-0.544760994692332,0.175519374601279
"FK07",12,12,"Ganda","4","Ad07",4,"FM",4,4,3.375,4,4,"funeral",6,1.30568787722175,0.955678430903108,0.00352579859356598,0.238002376321892,1.28059532375522
"FO04",13,13,"Mbuti","1","Aa05",1,"General",1,2,2,3,1.25,"law",1,-2.44698942373604,-1.41854262820661,-0.537096652419888,-0.15337930918522,-2.19250051644289
"FO04",13,13,"Mbuti","1","Aa05",1,"Soc",1,3,3,NA,1.75,"social",2,-2.44698942373604,-0.23143209865175,-0.143916688046467,NA,-1.56102854549778
"FO04",13,13,"Mbuti","1","Aa05",1,"Gender",1,NA,NA,NA,1,"gender",3,-2.44698942373604,NA,NA,NA,-2.50823650191545
"FO04",13,13,"Mbuti","1","Aa05",1,"Mar",2,NA,NA,NA,2,"marriage",4,-1.19609699008345,NA,NA,NA,-1.24529256002522
"FO04",13,13,"Mbuti","1","Aa05",1,"Sex",1.25,2.75,NA,NA,1.25,"sex",5,-2.1342663153229,-0.528209731040464,NA,NA,-2.19250051644289
"FO04",13,13,"Mbuti","1","Aa05",1,"FM",1.75,NA,NA,NA,1.75,"funeral",6,-1.5088200984966,NA,NA,NA,-1.56102854549778
"FF57",16,16,"Tiv","9","Ah03",3,"General",3.125,3,3.875,2.5,3,"law",1,0.211156997775727,-0.23143209865175,0.200115780780277,-0.349070151938776,0.017651381865001
"FF57",16,16,"Tiv","9","Ah03",3,"Soc",2.75,2.375,3.625,2.125,2.75,"social",2,-0.257927664843997,-0.973376179623536,0.101820789686921,-0.495838284003943,-0.298084603607555
"FF57",16,16,"Tiv","9","Ah03",3,"Gender",3.125,2,3.875,3,3,"gender",3,0.211156997775727,-1.41854262820661,0.200115780780277,-0.15337930918522,0.017651381865001
"FF57",16,16,"Tiv","9","Ah03",3,"Mar",3,NA,3,3,2.5,"marriage",4,0.0547954435691525,NA,-0.143916688046467,-0.15337930918522,-0.613820589080111
"FF57",16,16,"Tiv","9","Ah03",3,"Sex",3.375,3,3.875,3.125,3.125,"sex",5,0.523880106188877,-0.23143209865175,0.200115780780277,-0.104456598496831,0.175519374601279
"FF57",16,16,"Tiv","9","Ah03",3,"FM",3.125,4,4,4,3.875,"funeral",6,0.211156997775727,0.955678430903108,0.249263276326954,0.238002376321892,1.12272733101895
"FE12",19,19,"Akan","6","Af03",4,"General",4,3.125,4,3.125,4,"law",1,1.30568787722175,-0.0830432824573925,0.249263276326954,-0.104456598496831,1.28059532375522
"FE12",19,19,"Akan","6","Af03",4,"Soc",3.75,3.875,3.25,3,3.75,"social",2,0.992964768808601,0.807289614708751,-0.0456216969531117,-0.15337930918522,0.964859338282669
"FE12",19,19,"Akan","6","Af03",4,"Gender",4,4,3.75,4,4,"gender",3,1.30568787722175,0.955678430903108,0.150968285233599,0.238002376321892,1.28059532375522
"FE12",19,19,"Akan","6","Af03",4,"Mar",4,4,3.5,4,4,"marriage",4,1.30568787722175,0.955678430903108,0.0526732941402436,0.238002376321892,1.28059532375522
"FE12",19,19,"Akan","6","Af03",4,"Sex",4,4,4,3,4,"sex",5,1.30568787722175,0.955678430903108,0.249263276326954,-0.15337930918522,1.28059532375522
"FE12",19,19,"Akan","6","Af03",4,"FM",4,4,4,4,4,"funeral",6,1.30568787722175,0.955678430903108,0.249263276326954,0.238002376321892,1.28059532375522
"MS30",21,21,"Wolof","7","Cb02",3,"General",1,3,3,NA,2,"law",1,-2.44698942373604,-0.23143209865175,-0.143916688046467,NA,-1.24529256002522
"MS30",21,21,"Wolof","7","Cb02",3,"Soc",NA,NA,NA,NA,NA,"social",2,NA,NA,NA,NA,NA
"MS30",21,21,"Wolof","7","Cb02",3,"Gender",NA,NA,NA,NA,NA,"gender",3,NA,NA,NA,NA,NA
"MS30",21,21,"Wolof","7","Cb02",3,"Mar",3,3,2,NA,3,"marriage",4,0.0547954435691525,-0.23143209865175,-0.537096652419888,NA,0.017651381865001
"MS30",21,21,"Wolof","7","Cb02",3,"Sex",3,4,3,NA,3,"sex",5,0.0547954435691525,0.955678430903108,-0.143916688046467,NA,0.017651381865001
"MS30",21,21,"Wolof","7","Cb02",3,"FM",3,NA,NA,NA,3,"funeral",6,0.0547954435691525,NA,NA,NA,0.017651381865001
"FA08",22,22,"Bambara",NA,"Ag01",3.25,"General",2.75,3.75,3.75,3,3,"law",1,-0.257927664843997,0.658900798514394,0.150968285233599,-0.15337930918522,0.017651381865001
"FA08",22,22,"Bambara",NA,"Ag01",3.25,"Soc",4,NA,4,NA,4,"social",2,1.30568787722175,NA,0.249263276326954,NA,1.28059532375522
"FA08",22,22,"Bambara",NA,"Ag01",3.25,"Gender",3.75,4,4,NA,3.75,"gender",3,0.992964768808601,0.955678430903108,0.249263276326954,NA,0.964859338282669
"FA08",22,22,"Bambara",NA,"Ag01",3.25,"Mar",3,4,4,3.75,3.25,"marriage",4,0.0547954435691525,0.955678430903108,0.249263276326954,0.140156954945114,0.333387367337557
"FA08",22,22,"Bambara",NA,"Ag01",3.25,"Sex",2.25,3.25,2.75,NA,2.25,"sex",5,-0.883373881670296,0.0653455337369648,-0.242211679139822,NA,-0.929556574552667
"FA08",22,22,"Bambara",NA,"Ag01",3.25,"FM",4,4,4,4,4,"funeral",6,1.30568787722175,0.955678430903108,0.249263276326954,0.238002376321892,1.28059532375522
"FE11",23,23,"Tallensi",NA,"Ag04",3,"General",3,3.25,3.75,4,3.25,"law",1,0.0547954435691525,0.0653455337369648,0.150968285233599,0.238002376321892,0.333387367337557
"FE11",23,23,"Tallensi",NA,"Ag04",3,"Soc",2.75,3,3.25,3.75,3,"social",2,-0.257927664843997,-0.23143209865175,-0.0456216969531117,0.140156954945114,0.017651381865001
"FE11",23,23,"Tallensi",NA,"Ag04",3,"Gender",2.75,NA,NA,NA,2.75,"gender",3,-0.257927664843997,NA,NA,NA,-0.298084603607555
"FE11",23,23,"Tallensi",NA,"Ag04",3,"Mar",3.25,NA,3.25,3.75,3.25,"marriage",4,0.367518551982302,NA,-0.0456216969531117,0.140156954945114,0.333387367337557
"FE11",23,23,"Tallensi",NA,"Ag04",3,"Sex",3.25,3.75,3.75,3.25,3.25,"sex",5,0.367518551982302,0.658900798514394,0.150968285233599,-0.0555338878084417,0.333387367337557
"FE11",23,23,"Tallensi",NA,"Ag04",3,"FM",3.75,NA,NA,NA,3.75,"funeral",6,0.992964768808601,NA,NA,NA,0.964859338282669
"MS20",24,24,"Songhai",NA,"Cb03",NA,"General",3.25,4,4,4,3.75,"law",1,0.367518551982302,0.955678430903108,0.249263276326954,0.238002376321892,0.964859338282669
"MS20",24,24,"Songhai",NA,"Cb03",NA,"Soc",3.25,NA,3.75,NA,3.25,"social",2,0.367518551982302,NA,0.150968285233599,NA,0.333387367337557
"MS20",24,24,"Songhai",NA,"Cb03",NA,"Gender",3.25,NA,NA,NA,3.25,"gender",3,0.367518551982302,NA,NA,NA,0.333387367337557
"MS20",24,24,"Songhai",NA,"Cb03",NA,"Mar",3.75,NA,NA,4,3.25,"marriage",4,0.992964768808601,NA,NA,0.238002376321892,0.333387367337557
"MS20",24,24,"Songhai",NA,"Cb03",NA,"Sex",NA,NA,NA,3.25,NA,"sex",5,NA,NA,NA,-0.0555338878084417,NA
"MS20",24,24,"Songhai",NA,"Cb03",NA,"FM",NA,NA,NA,NA,NA,"funeral",6,NA,NA,NA,NA,NA
"MS11",25,25,"Fulani",NA,"Cb24",NA,"General",NA,NA,NA,NA,NA,"law",1,NA,NA,NA,NA,NA
"MS11",25,25,"Fulani",NA,"Cb24",NA,"Soc",NA,NA,NA,NA,NA,"social",2,NA,NA,NA,NA,NA
"MS11",25,25,"Fulani",NA,"Cb24",NA,"Gender",NA,NA,NA,NA,NA,"gender",3,NA,NA,NA,NA,NA
"MS11",25,25,"Fulani",NA,"Cb24",NA,"Mar",NA,NA,NA,NA,NA,"marriage",4,NA,NA,NA,NA,NA
"MS11",25,25,"Fulani",NA,"Cb24",NA,"Sex",NA,NA,NA,NA,NA,"sex",5,NA,NA,NA,NA,NA
"MS11",25,25,"Fulani",NA,"Cb24",NA,"FM",NA,NA,NA,NA,NA,"funeral",6,NA,NA,NA,NA,NA
"MS12",26,26,"Hausa","10","Cb26",4,"General",3.875,3.875,3.875,NA,3.875,"law",1,1.14932632301518,0.807289614708751,0.200115780780277,NA,1.12272733101895
"MS12",26,26,"Hausa","10","Cb26",4,"Soc",3,NA,NA,NA,NA,"social",2,0.0547954435691525,NA,NA,NA,NA
"MS12",26,26,"Hausa","10","Cb26",4,"Gender",3.875,NA,NA,3,3.875,"gender",3,1.14932632301518,NA,NA,-0.15337930918522,1.12272733101895
"MS12",26,26,"Hausa","10","Cb26",4,"Mar",3,2,3,2.375,2.375,"marriage",4,0.0547954435691525,-1.41854262820661,-0.143916688046467,-0.397992862627165,-0.771688581816389
"MS12",26,26,"Hausa","10","Cb26",4,"Sex",3.625,3.5,3.625,NA,3.625,"sex",5,0.836603214602027,0.362123166125679,0.101820789686921,NA,0.806991345546391
"MS12",26,26,"Hausa","10","Cb26",4,"FM",NA,NA,NA,NA,NA,"funeral",6,NA,NA,NA,NA,NA
"FI21",27,27,"Masa",NA,"Ai09",NA,"General",NA,NA,NA,NA,NA,"law",1,NA,NA,NA,NA,NA
"FI21",27,27,"Masa",NA,"Ai09",NA,"Soc",NA,NA,NA,NA,NA,"social",2,NA,NA,NA,NA,NA
"FI21",27,27,"Masa",NA,"Ai09",NA,"Gender",NA,NA,NA,NA,NA,"gender",3,NA,NA,NA,NA,NA
"FI21",27,27,"Masa",NA,"Ai09",NA,"Mar",NA,NA,NA,NA,NA,"marriage",4,NA,NA,NA,NA,NA
"FI21",27,27,"Masa",NA,"Ai09",NA,"Sex",NA,NA,NA,NA,NA,"sex",5,NA,NA,NA,NA,NA
"FI21",27,27,"Masa",NA,"Ai09",NA,"FM",NA,NA,NA,NA,NA,"funeral",6,NA,NA,NA,NA,NA
"FO07",28,28,"Azande","5","Ai03",4,"General",3.875,3.875,4,3.875,4,"law",1,1.14932632301518,0.807289614708751,0.249263276326954,0.189079665633503,1.28059532375522
"FO07",28,28,"Azande","5","Ai03",4,"Soc",3.125,NA,NA,NA,3,"social",2,0.211156997775727,NA,NA,NA,0.017651381865001
"FO07",28,28,"Azande","5","Ai03",4,"Gender",4,NA,NA,4,4,"gender",3,1.30568787722175,NA,NA,0.238002376321892,1.28059532375522
"FO07",28,28,"Azande","5","Ai03",4,"Mar",4,3.125,4,3.25,3.875,"marriage",4,1.30568787722175,-0.0830432824573925,0.249263276326954,-0.0555338878084417,1.12272733101895
"FO07",28,28,"Azande","5","Ai03",4,"Sex",3.5,3,3.875,3.75,3.5,"sex",5,0.680241660395452,-0.23143209865175,0.200115780780277,0.140156954945114,0.649123352810113
"FO07",28,28,"Azande","5","Ai03",4,"FM",3.875,3.5,3.875,4,4,"funeral",6,1.14932632301518,0.362123166125679,0.200115780780277,0.238002376321892,1.28059532375522
"MQ08",29,29,"Fur",NA,"Cb17",3.25,"General",3.25,4,3.25,3.25,3.25,"law",1,0.367518551982302,0.955678430903108,-0.0456216969531117,-0.0555338878084417,0.333387367337557
"MQ08",29,29,"Fur",NA,"Cb17",3.25,"Soc",4,4,4,4,4,"social",2,1.30568787722175,0.955678430903108,0.249263276326954,0.238002376321892,1.28059532375522
"MQ08",29,29,"Fur",NA,"Cb17",3.25,"Gender",3.25,NA,NA,4,3.25,"gender",3,0.367518551982302,NA,NA,0.238002376321892,0.333387367337557
"MQ08",29,29,"Fur",NA,"Cb17",3.25,"Mar",2.75,NA,NA,NA,2.75,"marriage",4,-0.257927664843997,NA,NA,NA,-0.298084603607555
"MQ08",29,29,"Fur",NA,"Cb17",3.25,"Sex",2.25,3,3,1,2,"sex",5,-0.883373881670296,-0.23143209865175,-0.143916688046467,-0.936142680199444,-1.24529256002522
"MQ08",29,29,"Fur",NA,"Cb17",3.25,"FM",2.25,NA,NA,NA,2.25,"funeral",6,-0.883373881670296,NA,NA,NA,-0.929556574552667
"FJ21",30,30,"Nuba",NA,"Ai10",2.75,"General",3,3,3.25,2.75,3,"law",1,0.0547954435691525,-0.23143209865175,-0.0456216969531117,-0.251224730561998,0.017651381865001
"FJ21",30,30,"Nuba",NA,"Ai10",2.75,"Soc",3.25,3.25,3.75,4,3.75,"social",2,0.367518551982302,0.0653455337369648,0.150968285233599,0.238002376321892,0.964859338282669
"FJ21",30,30,"Nuba",NA,"Ai10",2.75,"Gender",NA,NA,NA,NA,2.75,"gender",3,NA,NA,NA,NA,-0.298084603607555
"FJ21",30,30,"Nuba",NA,"Ai10",2.75,"Mar",2.25,NA,NA,2.25,2.75,"marriage",4,-0.883373881670296,NA,NA,-0.446915573315554,-0.298084603607555
"FJ21",30,30,"Nuba",NA,"Ai10",2.75,"Sex",1.75,2.25,3.25,1.25,2.25,"sex",5,-1.5088200984966,-1.12176499581789,-0.0456216969531117,-0.838297258822666,-0.929556574552667
"FJ21",30,30,"Nuba",NA,"Ai10",2.75,"FM",NA,NA,NA,NA,NA,"funeral",6,NA,NA,NA,NA,NA
"MP19",32,32,"Mao",NA,"Ai47",3,"General",3,NA,NA,NA,2.75,"law",1,0.0547954435691525,NA,NA,NA,-0.298084603607555
"MP19",32,32,"Mao",NA,"Ai47",3,"Soc",3,NA,NA,NA,3,"social",2,0.0547954435691525,NA,NA,NA,0.017651381865001
"MP19",32,32,"Mao",NA,"Ai47",3,"Gender",2,NA,NA,NA,2,"gender",3,-1.19609699008345,NA,NA,NA,-1.24529256002522
"MP19",32,32,"Mao",NA,"Ai47",3,"Mar",3,NA,NA,NA,3,"marriage",4,0.0547954435691525,NA,NA,NA,0.017651381865001
"MP19",32,32,"Mao",NA,"Ai47",3,"Sex",3.25,3.75,2.25,NA,3,"sex",5,0.367518551982302,0.658900798514394,-0.438801661326533,NA,0.017651381865001
"MP19",32,32,"Mao",NA,"Ai47",3,"FM",4,NA,NA,NA,4,"funeral",6,1.30568787722175,NA,NA,NA,1.28059532375522
"FL12",34,34,"Maasai","11","Aj02",NA,"General",NA,NA,NA,NA,NA,"law",1,NA,NA,NA,NA,NA
"FL12",34,34,"Maasai","11","Aj02",NA,"Soc",NA,NA,NA,NA,NA,"social",2,NA,NA,NA,NA,NA
"FL12",34,34,"Maasai","11","Aj02",NA,"Gender",NA,NA,NA,NA,NA,"gender",3,NA,NA,NA,NA,NA
"FL12",34,34,"Maasai","11","Aj02",NA,"Mar",NA,NA,NA,NA,NA,"marriage",4,NA,NA,NA,NA,NA
