"sccsn","socname","Family","General_TL5_Final","Soc_TL5_Final","Gender_TL5_Final","Mar_TL5_Final","Sex_TL5_Final","FM_TL5_Final","latitude","longitude","Elevation","v84","v149","v150","v151","v152","v153","v154","v155","v156","v157","v158","v237","v238","v238.1","v238.2","v699","v761","v773","v774","v787","v789","v835","v861","v1253_rec","v1254_rec","v1255_rec","v1256_rec","v1257_rec","v1258_rec","v1259_rec","v1265","v1267","v1720_poppress","Adult.Mobility","Contact.OtherSocieties","extfreq","intfreq","oth","ovfreq","fam","chrs","PatriDescent","MatriDescent","Predom_MultiplePatterns","Predom_A","Predom_M","Predom_P","P_M","Predom_M_12_0","MatrilinealDes_Copy","Predom_P_12_0","Predom_Bilocal","LocalizedKin","subsistence","agriculture","horticulture","huntergatherer","pastoralism","other","pathogensum","pathogendummy","Zpathogensum","Zpathogendummy","v774_rev","v773_rev","Zv773_rev","Zv774_rev","extfreq_rec","Zextfreq_rec","intfreq_rec","Zintfreq_rec","v1265_dum","Zfam","Zchrs","Zv1265_dum","Zv1267","famine_index","Zoth","Zv1720_poppress","v151_2","v153_2","v155_2","complexity","Res_Hetero","mobility","contact2","v761_rev","Zv761","Zv761_rev","Zv238_rec","polygamy","threat_fam","threat_path"
1,"Nama Hottentot","Khoe-Kwadi",3.125,,2.875,2.625,3,3.125,-27.5,17,770.5085225,1,1,1,1,2,4,2,1,1,3,2,2,1,1,1,3,,,,,,2,3,0,0,0,0,0,0,1,4,4,,,,5,5,2,5,,,1,0,0,0,0,2,1,0,0,1,0,1,"Other",0,0,0,0,1,1,1,-1.06142848524035,0.463170239634852,,,,,5,1.33602447492013,5,1.50392419801737,1,,,0.582575265003535,0.790802186649041,0.686688725826288,-0.563808453733909,,1,2,1,-0.694823276277028,0,,,,,,-0.557350770119123,1,0.0614401360461896,-1.06142848524035
2,"Kung Bushmen","Kxa",2.25,1.75,3,2.25,3,,-20,21,1024.89,1,2,1,1,1,1,1,1,1,2,1,1,3,3,3,,4,3,4,3,1,1,3,0,1,1,0,0,0,0,2,,0,0.904256813,1.816349659,1,1,4,1,,3,0,0,2,0,0,0,3,0,0,0,1,0,"Hunter Gatherer",0,0,1,0,0,2,1,-0.601228722408868,0.463170239634852,1,2,-0.414619578806056,-1.59020198722239,1,-1.06511652158111,1,-0.964053973088056,0,,1.70179587004312,-1.70611327608178,,-0.0021587030193323,1.15628513392886,-0.563830877642601,1,1,1,-1.09653061741214,1,0.904256813,-1.816349659,1,1.39338923104329,-1.39338923104329,-0.557350770119123,1,0.19676518442231,-0.868683429479105
3,"Thonga","Atantic-Congo",,,,,,,-12,34,0.76,3,1,4,4,1,4,1,3,5,4,3,3,,,,3,,,,,,3,4,0,0,1,1,0,0,1,4,3,0,,,0,0,,0,3,,1,0,,,,,,,0,,,1,,,,,,,3,1,-0.141028959577389,0.463170239634852,,,,,,,,,1,1.0298531866223,,0.582575265003535,-0.174712111003858,0.479238780207325,,-0.563830877642601,3,2,2,0.0456704828824149,,,,,,,,1,-0.0422960487176377,-0.141028959577389
4,"Lozi","Atantic-Congo",,,,,,,-16,23.5,1050.433449,1,1,3,5,4,3,1,1,3,5,4,4,2,2,2,,2,3,2,1,1,4,4,0,1,1,1,1,1,1,4,,1,0.904256813,-0.861996448,2.5,3.5,,3.5,,1,0,0,,,,,,,0,,,0,,,,,,,6,1,1.23957032891705,0.463170239634852,3,2,-0.414619578806056,0.00987703097653663,2.5,-0.164688647893145,3.5,0.578432383852833,1,,-0.721473330018279,0.582575265003535,,-0.0694490325073722,,1.75084325162702,4,2,1,0.191640771369361,,0.904256813,0.861996448,3,-0.979511241624492,0.979511241624492,-0.557350770119123,1,0.840697109559826,0.278275927029177
5,"Mbundu","Atantic-Congo",,,,,,,-12,16,1655.28,4,1,5,4,2,4,1,4,3,4,4,3,2,2,2,4,,,,,,3,4,0,1,1,0,1,1,1,4,4,,,,5,2,,5,1,,1,1,,,,,,,1,,,1,,,,,,,5,1,0.77937056608557,0.463170239634852,,,,,5,1.33602447492013,2,-0.3470594303117,1,-0.986942637179703,,0.582575265003535,0.790802186649041,0.128811604824291,,,3,2,3,0.216639472816175,,,,,,,-0.557350770119123,1,0.128811604824291,0.77937056608557
6,"Suku","Atantic-Congo",,,,,,,-6,18,875.0457515,1,1,4,4,1,4,1,4,3,5,3,4,2,2,2,,3,2,3,2,1,4,4,1,1,1,1,1,1,1,4,3,0,0.904256813,0.477176605,3.75,2.75,,3.75,,,0,1,,,,,,,1,,,0,,,,,,,7,1,1.69977009174853,0.463170239634852,2,3,0.3515252950747,-0.790162478122927,3.75,0.585667913513491,2.75,0.115686476770567,1,,,0.582575265003535,-0.174712111003858,0.203931576999839,,-0.563830877642601,3,2,3,0.0969888571366598,,0.904256813,-0.477176605,2,0.206938994709399,-0.206938994709399,-0.557350770119123,1,-0.179949650321381,0.420377636233434
7,"Bemba","Atantic-Congo",,,,,,,-10.5,30.5,1228.933626,1,2,4,4,2,4,1,1,2,5,3,3,3,3,3,4,,,,,,4,3,0,1,1,1,1,0,0,4,4,,,,5,5,,5,,,0,1,,,,,,,1,,,0,,,,,,,4,1,0.31917080325409,0.463170239634852,,,,,5,1.33602447492013,5,1.50392419801737,1,,,0.582575265003535,0.790802186649041,0.686688725826288,,,3,2,1,-0.0179764814705465,,,,,,,-0.557350770119123,1,0.686688725826288,0.31917080325409
8,"Nyakyusa","Atantic-Congo",3.125,,3.375,2.5,3.25,3.875,-9.5,34,1026.743062,4,1,4,5,2,4,1,2,4,4,1,3,2,2,2,,3,1,1,2,2,3,4,0,1,1,1,1,1,1,4,2,0,0.904256813,0.477176605,1,1,2,1,1,1,1,0,0,0,0,0,,0,0,0,0,0,"Intensive Agriculture",1,0,0,0,0,6,1,1.23957032891705,0.463170239634852,4,4,1.11767016895546,0.809916540076,1,-1.06511652158111,1,-0.964053973088056,1,-0.986942637179703,-0.721473330018279,0.582575265003535,-1.14022640865676,-0.566516777712801,-0.563808453733909,-0.563830877642601,4,2,2,-0.0173454319803599,0,0.904256813,-0.477176605,2,0.206938994709399,-0.206938994709399,-0.557350770119123,1,-0.56471870302977,1.0557190126495
9,"Hadza","Hadza",,,,,,,-3.75,35.18,1320.193027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,1,2,0,0,1,1,1,1,1,,,,,,8,1,3,1,1,1,0,0,1,0,0,1,2,0,0,1,0,0,,,,,,,5,1,0.77937056608557,0.463170239634852,,,,,,,1,-0.964053973088056,,-0.986942637179703,-0.721473330018279,,,-0.854207983598991,0.296238340097478,,1,1,1,-1.24924267636864,0,,,,,,-0.557350770119123,0,-0.278984821750757,0.77937056608557
10,"Luguru","Atantic-Congo",,,,,,,-6.83,37.67,451.9252396,1,1,5,4,3,4,1,2,5,2,2,1,2,2,2,,,,,,,1,3,0,0,1,1,1,1,0,4,3,,,,1.5,1,,1.5,,3,0,1,,,,,,,1,,,1,,,,,,,4,1,0.31917080325409,0.463170239634852,,,,,1.5,-0.764973897018453,1,-0.964053973088056,1,,1.70179587004312,0.582575265003535,-0.174712111003858,0.703219674680931,,,3,2,2,0.0156482996257267,,,,,,,-0.557350770119123,1,0.703219674680931,0.31917080325409
