id,sccsn,Domain,TL1
1,1,1,3.125
1,1,2, 
1,1,3,2.875
1,1,4,2.625
1,1,5,3
1,1,6,3.125
2,2,1,2.25
2,2,2,1.75
2,2,3,3
2,2,4,2.25
2,2,5,3
2,2,6, 
3,3,1, 
3,3,2, 
3,3,3, 
3,3,4, 
3,3,5, 
3,3,6, 
4,4,1, 
4,4,2, 
4,4,3, 
4,4,4, 
4,4,5, 
4,4,6, 
5,5,1, 
5,5,2, 
5,5,3, 
5,5,4, 
5,5,5, 
5,5,6, 
6,6,1, 
6,6,2, 
6,6,3, 
6,6,4, 
6,6,5, 
6,6,6, 
7,7,1, 
7,7,2, 
7,7,3, 
7,7,4, 
7,7,5, 
7,7,6, 
8,8,1,3.125
8,8,2, 
8,8,3,3.375
8,8,4,2.5
8,8,5,3.25
8,8,6,3.875
9,9,1, 
9,9,2, 
9,9,3, 
9,9,4, 
9,9,5, 
9,9,6, 
10,10,1, 
10,10,2, 
10,10,3, 
10,10,4, 
10,10,5, 
10,10,6, 
11,11,1, 
11,11,2, 
11,11,3, 
11,11,4, 
11,11,5, 
11,11,6, 
12,12,1,4
12,12,2,3.5
12,12,3,3.875
12,12,4,3.125
12,12,5,3.125
12,12,6,4
13,13,1,1.25
13,13,2,1.75
13,13,3,1
13,13,4,2
13,13,5,1.25
13,13,6,1.75
14,14,1, 
14,14,2, 
14,14,3, 
14,14,4, 
14,14,5, 
14,14,6, 
15,15,1, 
15,15,2, 
15,15,3, 
15,15,4, 
15,15,5, 
15,15,6, 
16,16,1, 
16,16,2, 
16,16,3, 
16,16,4, 
16,16,5, 
16,16,6, 
17,17,1, 
17,17,2, 
17,17,3, 
17,17,4, 
17,17,5, 
17,17,6, 
18,18,1, 
18,18,2, 
18,18,3, 
18,18,4, 
18,18,5, 
18,18,6, 
19,19,1, 
19,19,2, 
19,19,3, 
19,19,4, 
19,19,5, 
19,19,6, 
20,20,1, 
20,20,2, 
20,20,3, 
20,20,4, 
20,20,5, 
20,20,6, 
21,21,1,2.375
21,21,2, 
21,21,3,2.625
21,21,4,3.75
21,21,5,2.875
21,21,6,3
22,22,1,3
22,22,2,4
22,22,3,3.75
22,22,4,3.25
22,22,5,2.25
22,22,6,4
23,23,1,3.25
23,23,2,3
23,23,3,2.75
23,23,4,3.25
23,23,5,3.25
23,23,6,3.75
24,24,1,3.75
24,24,2,3.25
24,24,3,3.25
24,24,4,3.75
24,24,5, 
24,24,6, 
25,25,1,3
25,25,2,3.25
25,25,3,2.75
25,25,4,3.75
25,25,5,2.75
25,25,6, 
26,26,1,3.875
26,26,2, 
26,26,3,3.875
26,26,4,3.375
26,26,5,3.625
26,26,6, 
27,27,1, 
27,27,2, 
27,27,3, 
27,27,4, 
27,27,5, 
27,27,6, 
28,28,1, 
28,28,2, 
28,28,3, 
28,28,4, 
28,28,5, 
28,28,6, 
29,29,1,3.25
29,29,2,4
29,29,3,3.25
29,29,4,3.75
29,29,5,2
29,29,6,2.25
30,30,1,3
30,30,2,3.75
30,30,3,2.75
30,30,4,3.75
30,30,5,2.25
30,30,6, 
31,31,1, 
31,31,2, 
31,31,3, 
31,31,4, 
31,31,5, 
31,31,6, 
32,32,1,2.75
32,32,2,3
32,32,3,2
32,32,4,3
32,32,5,3
32,32,6,4
33,33,1, 
33,33,2, 
33,33,3, 
33,33,4, 
33,33,5, 
33,33,6, 
34,34,1,3.25
34,34,2,2.5
34,34,3,3.875
34,34,4,3.125
34,34,5,2.875
34,34,6,2.625
35,35,1,3.25
35,35,2, 
35,35,3, 
35,35,4, 
35,35,5, 
35,35,6, 
36,36,1,3.25
36,36,2, 
36,36,3,4
36,36,4,3
