sccsn,PatriDescent,MatriDescent,Predom_MultiplePatterns,Predom_A,Predom_M,Predom_P,P_M,Predom_M_12_0,MatrilinealDes_Copy,Predom_P_12_0,Predom_Bilocal,LocalizedKin
1,1,0,0,0,0,2,1,0,0,1,0,1
2,0,0,2,0,0,0,3,0,0,0,1,0
3,1,0,,,,,,,0,,,1
4,0,0,,,,,,,0,,,0
5,1,1,,,,,,,1,,,1
6,0,1,,,,,,,1,,,0
7,0,1,,,,,,,1,,,0
8,1,0,0,0,0,0,,0,0,0,0,0
9,0,0,1,0,0,1,2,0,0,1,0,0
10,0,1,,,,,,,1,,,1
11,1,0,,,,,,,0,,,1
12,1,0,1,0,0,0,,0,0,0,0,0
13,0,0,2,0,0,0,3,0,0,0,1,0
14,1,0,,,,,,,0,,,1
15,1,0,,,,,,,0,,,1
16,1,0,,,,,,,0,,,1
17,1,0,,,,,,,0,,,1
18,1,0,,,,,,,0,,,1
19,1,1,,,,,,,1,,,0
20,1,0,,,,,,,0,,,1
21,1,1,1,0,0,1,,0,1,1,0,1
22,1,0,0,0,0,2,1,0,0,1,0,1
23,1,0,1,0,0,1,2,0,0,1,0,1
24,1,0,1,0,0,1,2,0,0,1,0,0
25,1,0,0,0,0,2,1,0,0,1,0,0
26,1,0,0,0,0,2,1,0,0,1,0,1
27,1,0,0,0,0,2,1,0,0,1,0,1
28,1,0,,,,,,,0,,,0
29,0,1,0,0,0,0,,0,1,0,0,0
30,1,0,1,0,0,1,2,0,0,1,0,1
31,1,0,,,,,,,0,,,1
32,1,0,0,0,0,2,1,0,0,1,0,1
33,1,0,,,,,,,0,,,
34,1,0,1,0,0,1,2,0,0,1,0,0
35,1,0,1,0,0,1,2,0,0,1,0,1
36,1,0,0,0,0,2,1,0,0,1,0,1
37,0,0,1,0,0,1,2,0,0,1,0,0
38,,,,,,,,,,,,0
39,1,0,0,0,0,2,1,0,0,1,0,0
40,1,0,0,0,0,2,1,0,0,1,0,0
41,0,1,,,,,,,1,,,1
42,1,0,1,0,0,1,2,0,0,1,0,1
43,1,0,0,0,0,2,1,0,0,1,0,0
44,1,0,,,,,,,0,,,0
45,0,0,2,0,0,0,3,0,0,0,1,
46,1,0,0,0,0,2,1,0,0,1,0,0
47,1,0,1,0,0,1,2,0,0,1,0,0
48,1,0,,,,,,,0,,,0
49,0,0,,,,,,,0,,,0
50,0,0,,,,,,,0,,,0
51,0,0,1,0,0,1,2,0,0,1,0,0
