sccsn,socname,Family,General_TL5_Final,Soc_TL5_Final,Gender_TL5_Final,Mar_TL5_Final,Sex_TL5_Final,FM_TL5_Final
13,Mbuti,Atantic-Congo,1.25,1.75,1,2,1.25,1.75
185,Tehuelche,Chonan,1.375,1,1.875,1,1.25,2.75
124,Copper Eskimo,Eskimo-Aleut,1.25,1.125,1,1.25,,2
121,Chukchee,Chukotko-Kamchatkan,1,1.25,2.25,1,1,2.75
141,Hidatsa,Siouan,2,,1.75,1.25,,
112,Ifugao,Austronesian,2.25,,1.5,1.125,2.5,3.5
162,Warrau,Warao,2.125,1,2,2.875,2,2.5
64,Burusho,Burushaki,2,2,1.5,2.125,3,
83,Javanese,Austronesian,2,2.25,2,1.75,1.25,3
86,Badjau,Austronesian,2,1.25,1.25,2,1.25,
150,Havasupai,Cochimi-Yuman,1.625,2,3.125,2,2.75,2.125
2,Kung Bushmen,Kxa,2.25,1.75,3,2.25,3,
52,Lapps,Uralic,2.25,,1.75,2,2.25,
98,Trobrianders,Kilivila,2.25,2.125,2.75,2.875,2,4
71,Burmese,Sino-Tibetan,2,2,1.75,1.75,3,3.25
92,Orokaiva,Trans-New_Guinea,2.25,1.75,4,1.25,2.25,3
144,Huron,Iroquoian,2.25,1.25,2,2.25,1,3.75
172,Aymara,Aymaran,3.75,3.75,3,1.75,2.25,3.25
182,Lengua,Lengua-Mascoy,2.25,1,1.75,1.75,,3
76,Siamese,Tai-Kadai,2.125,2,1.375,1.125,2.5,3
151,Papago,Uto-Aztecan,3.5,2,2,2.5,2.125,2.875
138,Klamath,Klamath-Modoc,2.125,2.75,1.5,2,3,3.625
70,Lakher,Sino-Tibetan,2.75,1.75,2.75,3.75,1.25,
72,Lamet,Austroasiatic,2.75,,3.75,2.25,2,3.75
118,Ainu,Ainu,2.75,,2.75,1.25,,2.75
142,Pawnee,Caddoan,2.75,2.25,2.25,2.25,3,
164,Carib (Barama),Cariban,2.5,2.125,2.625,2.875,2.5,3
58,Basseri,Indo-European,2.75,,2.375,3.75,3.875,3
46,Rwala Bedouin,Afro-Asiatic,3,,,2,4,1.75
156,Miskito,Misumalpan,3.25,1.25,3,3,,3.25
21,Wolof,Atantic-Congo,2.375,,2.625,3.75,2.875,3
30,Otoro Nuba,Heibanic,3,3.75,2.75,3.75,2.25,
100,Tikopia,Austronesian,3,2.75,3,2.25,2.75,2.25
40,Teda,Saharan,3,3,2.5,3.125,3.5,3.375
66,Khalka Mongols,Mongolic,3.125,3.625,1.5,2.25,,
186,Yahgan,Yamana,3,3.5,3,2.875,3.5,
55,Abkhaz,Abkhaz-Adyge,3.125,,1.875,3.375,,3.875
1,Nama Hottentot,Khoe-Kwadi,3.125,,2.875,2.625,3,3.125
32,Mao,Blue Nile Mao,2.75,3,2,3,3,4
34,Masai,Nilotic,3.25,2.5,3.875,3.125,2.875,2.625
53,Yurak Samoyed,Uralic,2,,3.25,3.25,,3
90,Tiwi,Tiwi,2.625,2.25,3.875,3.375,2.875,3.875
93,Kimam,Kolopom,3.25,2,3,2.25,3,4
119,Gilyak,Nivkh,3.875,3,2.25,3.125,2.25,3.5
47,Turks,Turkic,3,2,3.75,3,3.875,
60,Gond,Dravidian,2.875,2.875,3.5,1.5,3.75,3.75
68,Lepcha,Sino-Tibetan,3,3.25,1.25,3.25,3,4
184,Mapuche,Araucanian,3.75,3,2.75,3.75,2.75,4
23,Tallensi,Atantic-Congo,3.25,3,2.75,3.25,3.25,3.75
25,Pastoral Fulani,Atantic-Congo,3,3.25,2.75,3.75,2.75,
73,Vietnamese,Austroasiatic,2.75,,3,,,3.75
85,Iban,Austronesian,3.25,,2.25,3.75,3.75,3.75
99,Siuai,South Bougainville,3.25,1.25,3.25,3,2.75,3.75
108,Marshallese,Austronesian,3.75,2.75,3.25,1.75,2.75,2.75
110,Yapese,Austronesian,3.75,,3,1.75,2.75,2.75
130,Eyak,Athapaskan-Eyak-Tlingit,2.75,,2.75,3.25,3.25,4
37,Amhara,Afro-Asiatic,3.125,3.875,3.5,2.625,3.125,3.75
109,Trukese,Austronesian,3.125,3,4,3.125,2.5,3
132,Bellacoola,Salishan,3.75,3.875,2.75,2.25,3,4
168,Cayapa,Barbacoan,3.375,,2.625,3.375,3.125,3
8,Nyakyusa,Atantic-Congo,3.125,,3.375,2.5,3.25,3.875
42,Riffians,Afro-Asiatic,3.25,,3.75,3.75,3.5,4
94,Kapauku,Trans-New_Guinea,3.75,2.625,3.75,3.25,3,3
29,Fur (Darfur),Furan,3.25,4,3.25,3.75,2,2.25
22,Bambara,Mande,3,4,3.75,3.25,2.25,4
35,Konso,Afro-Asiatic,3.25,,,,,
36,Somali,Afro-Asiatic,3.25,,4,3,,3.25
57,Kurd,Indo-European,3.25,2.25,3.75,3.25,3.75,3.25
65,Kazak,Turkic,3.75,,3.75,3.25,3.25,3.25
154,Popoluca,Mixe-Zoque,3.25,,3,3,3.75,4
26,Hausa,Afro-Asiatic,3.875,,3.875,3.375,3.625,
106,Western Samoans,Austronesian,4,,,3.875,3.375,3.5
160,Haitians,Indo-European,3.875,3.875,3,3,2.25,4
96,Manus,Austronesian,3.875,2.75,3.75,3.5,3.875,4
165,Saramacca,Indo-European,4,2.75,3,3,3,4
24,Songhai,Songhay,3.75,3.25,3.25,3.75,,
51,Irish,Indo-European,3.75,4,3.75,3.25,3.75,4
117,Japanese,Japonic,3.75,3.75,3.75,3.75,3.25,4
159,Goajiro,Arawakan,3.75,3.25,3.75,,,
116,Koreans,Koreanic,3.875,3.5,4,3.75,3,3.875
91,Aranda,Pama-Nyungan,4,3.75,3.5,3.875,3.5,4
12,Ganda,Atantic-Congo,4,3.5,3.875,3.125,3.125,4
43,Egyptians,Afro-Asiatic,4,3.875,4,3.875,4,
54,Russians,Indo-European,3.75,4,4,4,,4
102,Mbau Fijians,Austronesian,4,3.25,3.75,4,3.75,3.75
3,Thonga,Atantic-Congo,,,,,,
4,Lozi,Atantic-Congo,,,,,,
5,Mbundu,Atantic-Congo,,,,,,
6,Suku,Atantic-Congo,,,,,,
7,Bemba,Atantic-Congo,,,,,,
9,Hadza,Hadza,,,,,,
10,Luguru,Atantic-Congo,,,,,,
11,Kikuyu,Atantic-Congo,,,,,,
14,Nkundo Mongo,Atantic-Congo,,,,,,
15,Banen,Atantic-Congo,,,,,,
16,Tiv,Atantic-Congo,,,,,,
17,Ibo,Atantic-Congo,,,,,,
18,Fon,Atantic-Congo,,,,,,
19,Ashanti,Atantic-Congo,,,,,,
20,Mende,Mande,,,,,,
27,Massa (Masa),Afro-Asiatic,,,,,,
